time,encoderLeft,encoderRight
912.398,126.03703308105469,126.11197662353516
912.5,126.03703308105469,126.11197662353516
912.601,126.03703308105469,126.11197662353516
912.696,126.03703308105469,126.11197662353516
912.799,126.03703308105469,126.11197662353516
912.9,126.05816650390625,126.13909149169922
913,126.07998657226562,126.16667938232422
913.101,126.10301208496094,126.19500732421875
913.2,126.12675476074219,126.22380065917969
913.302,126.15190124511719,126.2535400390625
913.401,126.17769622802734,126.28372955322266
913.501,126.20409393310547,126.31434631347656
913.603,126.23170471191406,126.3458480834961
913.7,126.25989532470703,126.37779998779297
913.8,126.2891845703125,126.41059112548828
913.9,126.31903076171875,126.4438247680664
914,126.3493881225586,126.47746276855469
914.101,126.38090515136719,126.51205444335938
914.201,126.41292572021484,126.54705047607422
914.302,126.44599151611328,126.58291625976562
914.404,126.4795150756836,126.61917877197266
914.501,126.51351928710938,126.65585327148438
914.601,126.54850006103516,126.69336700439453
914.701,126.58386993408203,126.7312240600586
914.799,126.61969757080078,126.76947784423828
914.901,126.65596008300781,126.80812072753906
915,126.69307708740234,126.8475341796875
915.101,126.73060607910156,126.8873062133789
915.201,126.76847076416016,126.9273910522461
915.3,126.80696868896484,126.96805572509766
915.4,126.84577178955078,127.00899505615234
915.501,126.8848648071289,127.05021667480469
915.601,126.92450714111328,127.0919418334961
915.701,126.96438598632812,127.13389587402344
915.801,127.00448608398438,127.17606353759766
915.901,127.0450668334961,127.21868896484375
916.001,127.08580780029297,127.26146697998047
916.101,127.12686157226562,127.3045654296875
916.2,127.16806030273438,127.3478012084961
916.301,127.20938110351562,127.39116668701172
916.402,127.25091552734375,127.43475341796875
916.501,127.29251861572266,127.47843170166016
916.601,127.33419799804688,127.52218627929688
916.699,127.3759536743164,127.56605529785156
916.8,127.41773986816406,127.6099624633789
916.901,127.45952606201172,127.65390014648438
917.001,127.50128936767578,127.6978530883789
917.101,127.54301452636719,127.74179077148438
917.201,127.58467864990234,127.78570556640625
917.301,127.6261978149414,127.82952880859375
917.401,127.66761779785156,127.87329864501953
917.501,127.70882415771484,127.91691589355469
917.601,127.7499008178711,127.96044921875
917.701,127.79080963134766,128.0038604736328
917.799,127.8313980102539,128.0470428466797
917.898,127.87181091308594,128.090087890625
917.996,127.91182708740234,128.13284301757812
918.101,127.95159149169922,128.1754150390625
918.2,127.99113464355469,128.2178192138672
918.299,128.03018188476562,128.25985717773438
918.401,128.06898498535156,128.3017120361328
918.498,128.10745239257812,128.3433380126953
918.6,128.14532470703125,128.38450622558594
918.7,128.18287658691406,128.42544555664062
918.801,128.21974182128906,128.46588134765625
918.901,128.2563018798828,128.506103515625
919.002,128.29244995117188,128.5460205078125
919.098,128.32786560058594,128.58541870117188
919.202,128.36289978027344,128.6245574951172
919.299,128.39756774902344,128.66343688964844
919.4,128.43173217773438,128.70196533203125
919.501,128.46502685546875,128.7399139404297
919.601,128.4978790283203,128.77755737304688
919.701,128.53025817871094,128.8148956298828
919.802,128.561767578125,128.8516845703125
919.9,128.5928955078125,128.88821411132812
920.002,128.62356567382812,128.92446899414062
920.101,128.65333557128906,128.96018981933594
920.2,128.68264770507812,128.99563598632812
920.3,128.711181640625,129.0306396484375
920.401,128.73934936523438,129.0654296875
920.502,128.76707458496094,129.0999755859375
920.601,128.79403686523438,129.13414001464844
920.701,128.82064819335938,129.16810607910156
920.8,128.84657287597656,129.2017364501953
920.901,128.8721466064453,129.23521423339844
921.001,128.89707946777344,129.26840209960938
921.099,128.92169189453125,129.3014373779297
921.201,128.94573974609375,129.33424377441406
921.3,128.96954345703125,129.36695861816406
921.404,128.99313354492188,129.3995819091797
921.5,129.016357421875,129.43206787109375
921.601,129.03936767578125,129.46450805664062
921.701,129.06216430664062,129.4968719482422
921.798,129.08489990234375,129.52923583984375
921.901,129.10757446289062,129.5615997314453
921.999,129.1302490234375,129.593994140625
922.101,129.15304565429688,129.62644958496094
922.2,129.17591857910156,129.6589813232422
922.301,129.1990509033203,129.69163513183594
922.401,129.2223663330078,129.72439575195312
922.501,129.24610900878906,129.7573699951172
922.6,129.27011108398438,129.7904815673828
922.7,129.29469299316406,129.82388305664062
922.799,129.31954956054688,129.857421875
922.901,129.3447265625,129.89114379882812
922.998,129.3707733154297,129.92532348632812
923.101,129.39724731445312,129.95973205566406
923.201,129.4246063232422,129.99464416503906
923.301,129.4524383544922,130.02981567382812
923.402,129.4808349609375,130.06533813476562
923.499,129.51026916503906,130.10147094726562
923.6,129.5402069091797,130.13790893554688
923.7,129.57077026367188,130.17474365234375
923.801,129.60243225097656,130.21229553222656
923.908,129.63465881347656,130.2501983642578
924.001,129.66741943359375,130.28846740722656
924.101,129.70140075683594,130.3275604248047
924.2,129.73599243164062,130.36708068847656
924.301,129.77114868164062,130.40701293945312
924.401,129.80755615234375,130.44781494140625
924.501,129.8445587158203,130.48907470703125
924.601,129.88218688964844,130.53079223632812
924.698,129.92100524902344,130.57339477539062
924.802,129.96043395996094,130.61643981933594
924.901,130.00047302246094,130.65997314453125
925.001,130.04115295410156,130.70399475097656
925.103,130.08253479003906,130.74856567382812
925.201,130.1252899169922,130.79420471191406
925.3,130.1685791015625,130.8402862548828
925.399,130.21246337890625,130.88682556152344
925.501,130.25692749023438,130.933837890625
925.601,130.30252075195312,130.98175048828125
925.702,130.3486785888672,131.03013610839844
925.8,130.3953399658203,131.07891845703125
925.9,130.44253540039062,131.12814331054688
926.001,130.49073791503906,131.17819213867188
926.1,130.53945922851562,131.22866821289062
926.201,130.5886688232422,131.279541015625
926.299,130.63833618164062,131.33079528808594
926.401,130.68890380859375,131.38279724121094
926.501,130.73983764648438,131.43507385253906
926.599,130.79153442382812,131.48800659179688
926.699,130.84361267089844,131.54124450683594
926.8,130.89605712890625,131.59478759765625
926.9,130.94891357421875,131.6486358642578
927.002,131.00257873535156,131.7031707763672
927.1,131.0565185546875,131.75791931152344
927.2,131.11082458496094,131.81295776367188
927.3,131.16546630859375,131.86827087402344
927.401,131.2204132080078,131.92381286621094
927.5,131.27587890625,131.97975158691406
927.601,131.33160400390625,132.03590393066406
927.701,131.38755798339844,132.0922088623047
927.803,131.44378662109375,132.14871215820312
927.9,131.50021362304688,132.2053680419922
928.002,131.55685424804688,132.2621612548828
928.095,131.6136474609375,132.3190460205078
928.2,131.67071533203125,132.3760986328125
928.302,131.7279052734375,132.43321228027344
928.402,131.78518676757812,132.4903564453125
928.501,131.84254455566406,132.54751586914062
928.601,131.8999786376953,132.6046905517578
928.701,131.9574737548828,132.66184997558594
928.799,132.01498413085938,132.71897888183594
928.9,132.072509765625,132.77598571777344
929.002,132.13002014160156,132.83299255371094
929.099,132.1874542236328,132.8897705078125
929.201,132.2448272705078,132.9464111328125
929.3,132.3021240234375,133.0029296875
929.401,132.3592987060547,133.05926513671875
929.501,132.4163818359375,133.1154327392578
929.604,132.47332763671875,133.17140197753906
929.702,132.53012084960938,133.22714233398438
929.8,132.58676147460938,133.28265380859375
929.898,132.6429443359375,133.3375701904297
930.001,132.69894409179688,133.3922119140625
930.098,132.75469970703125,133.446533203125
930.2,132.81019592285156,133.50051879882812
930.307,132.86546325683594,133.55421447753906
930.401,132.92022705078125,133.60723876953125
930.499,132.97471618652344,133.65992736816406
930.601,133.0289306640625,133.71224975585938
930.7,133.08285522460938,133.7642059326172
930.801,133.1361541748047,133.8153533935547
930.9,133.18911743164062,133.86610412597656
930.998,133.24180603027344,133.91648864746094
931.103,133.2941436767578,133.96641540527344
931.201,133.34613037109375,134.01589965820312
931.307,133.39739990234375,134.06446838378906
931.402,133.4483642578125,134.11265563964844
931.501,133.49891662597656,134.16030883789062
931.599,133.54905700683594,134.20742797851562
931.701,133.59849548339844,134.25363159179688
931.801,133.6475372314453,134.29933166503906
931.902,133.69619750976562,134.3445281982422
932.002,133.74441528320312,134.38914489746094
932.096,133.79225158691406,134.43325805664062
932.2,133.83938598632812,134.4764404296875
932.301,133.88612365722656,134.5190887451172
932.4,133.93246459960938,134.56118774414062
932.501,133.9784698486328,134.6028289794922
932.6,134.02374267578125,134.6434783935547
932.7,134.06869506835938,134.6836700439453
932.796,134.11331176757812,134.72340393066406
932.9,134.1575927734375,134.7626495361328
933.001,134.2012176513672,134.80096435546875
933.1,134.24453735351562,134.83885192871094
933.202,134.28753662109375,134.87625122070312
933.304,134.33001708984375,134.91290283203125
933.398,134.37222290039062,134.9491424560547
933.5,134.4142303466797,134.98507690429688
933.599,134.4557342529297,135.020263671875
933.703,134.4970245361328,135.05511474609375
933.802,134.5380859375,135.08961486816406
933.901,134.57894897460938,135.12380981445312
934.001,134.61964416503906,135.15774536132812
934.101,134.65994262695312,135.1910858154297
934.2,134.70013427734375,135.2242431640625
934.3,134.74017333984375,135.25717163085938
934.4,134.78001403808594,135.289794921875
934.501,134.81976318359375,135.32228088378906
934.597,134.85943603515625,135.3546600341797
934.7,134.89903259277344,135.38694763183594
934.8,134.93856811523438,135.4191436767578
934.901,134.97805786132812,135.45130920410156
935.002,135.01754760742188,135.48350524902344
935.1,135.05703735351562,135.51573181152344
935.2,135.09657287597656,135.54803466796875
935.301,135.13613891601562,135.58045959472656
935.4,135.17584228515625,135.61314392089844
935.499,135.21563720703125,135.64599609375
935.601,135.2554931640625,135.6790008544922
935.7,135.2954559326172,135.71217346191406
935.801,135.33555603027344,135.74562072753906
935.901,135.37594604492188,135.7796173095703
935.999,135.41651916503906,135.8139190673828
936.1,135.45730590820312,135.84857177734375
936.2,135.4982452392578,135.88351440429688
936.301,135.53936767578125,135.9187469482422
936.4,135.58091735839844,135.95469665527344
936.499,135.6226806640625,135.99098205566406
936.6,135.66464233398438,136.02760314941406
936.701,135.7068328857422,136.06455993652344
936.801,135.74945068359375,136.1022186279297
936.9,135.79226684570312,136.14016723632812
937.002,135.83551025390625,136.17877197265625
937.1,135.87899780273438,136.21774291992188
937.205,135.92276000976562,136.25714111328125
937.301,135.96676635742188,136.29690551757812
937.398,136.01100158691406,136.3369903564453
937.501,136.0554962158203,136.3774871826172
937.599,136.1004638671875,136.4186553955078
937.698,136.14564514160156,136.4601287841797
937.802,136.19122314453125,136.50221252441406
937.897,136.2370147705078,136.54457092285156
938.001,136.28302001953125,136.58724975585938
938.099,136.32920837402344,136.6302032470703
938.2,136.3758087158203,136.67373657226562
938.302,136.42257690429688,136.717529296875
938.402,136.4695587158203,136.76162719726562
938.5,136.51670837402344,136.80596923828125
938.6,136.56402587890625,136.85057067871094
938.701,136.61166381835938,136.89564514160156
938.8,136.65940856933594,136.94088745117188
938.902,136.70726013183594,136.986328125
939,136.7553253173828,137.03208923339844
939.103,136.80348205566406,137.07798767089844
939.201,136.85169982910156,137.12403869628906
939.3,136.89996337890625,137.170166015625
939.401,136.9482879638672,137.2164306640625
939.501,136.99667358398438,137.2628631591797
939.6,137.04505920410156,137.30935668945312
939.7,137.0934295654297,137.3558807373047
939.801,137.14178466796875,137.40243530273438
939.901,137.19007873535156,137.44898986816406
940.001,137.23825073242188,137.49549865722656
940.097,137.28631591796875,137.54197692871094
940.2,137.3343048095703,137.58837890625
940.299,137.3821563720703,137.6347198486328
940.401,137.42974853515625,137.68084716796875
940.501,137.47718811035156,137.72686767578125
940.601,137.52442932128906,137.77272033691406
940.701,137.5714569091797,137.81838989257812
940.8,137.61825561523438,137.8638916015625
940.903,137.6645965576172,137.90896606445312
941.001,137.71066284179688,137.95382690429688
941.101,137.75645446777344,137.9984130859375
941.201,137.80194091796875,138.04273986816406
941.297,137.84678649902344,138.0864715576172
941.4,137.8912811279297,138.12986755371094
941.501,137.9353790283203,138.17291259765625
941.601,137.97882080078125,138.21533203125
941.702,138.02191162109375,138.25741577148438
941.8,138.06459045410156,138.2991180419922
941.902,138.1063995361328,138.33998107910156
942,138.14776611328125,138.38043212890625
942.102,138.1886749267578,138.42042541503906
942.2,138.2290496826172,138.4599151611328
942.301,138.26890563964844,138.4989013671875
942.401,138.30758666992188,138.5367431640625
942.5,138.3457794189453,138.5740966796875
942.602,138.3834228515625,138.61093139648438
942.702,138.4198760986328,138.64659118652344
942.796,138.4557647705078,138.6816864013672
942.9,138.49107360839844,138.7162322998047
943.001,138.52572631835938,138.7501220703125
943.101,138.55909729003906,138.78273010253906
943.202,138.591796875,138.814697265625
943.302,138.62384033203125,138.8459930419922
943.401,138.65524291992188,138.8766632080078
943.498,138.68516540527344,138.9058380126953
943.602,138.71434020996094,138.93426513671875
943.701,138.74285888671875,138.9620361328125
943.801,138.76998901367188,138.9884033203125
943.901,138.79641723632812,139.01406860351562
944.001,138.821533203125,139.0383758544922
944.099,138.8458709716797,139.0618896484375
944.2,138.8694305419922,139.08460998535156
944.304,138.89137268066406,139.10565185546875
944.402,138.9126434326172,139.12599182128906
